step,volume_phi,phi_min,phi_max,max_u,com_x,com_y,com_z,radius_eff,rho_inside_avg,rho_outside_avg,rho_ratio_recovered,rho_ratio_expected,mu_inside_avg,mu_outside_avg,mu_ratio_recovered,mu_ratio_expected,p_inside_avg,p_outside_avg,delta_p,expected_delta_p_r0,expected_delta_p_reff,sigma_recovered_r0,sigma_recovered_reff,sigma_recovery_ratio_r0,sigma_recovery_ratio_reff,volume_phi_rel_drift,radius_eff_rel_drift,com_dx,com_dy,com_dz,com_drift,delta_p_error_percent_r0,delta_p_error_percent_reff,sigma_recovery_percent_error_r0,sigma_recovery_percent_error_reff,rho_ratio_error_percent,mu_ratio_error_percent
2000,60139.18361,8.577685784e-11,0.9999792576,0.04455703968,63.5,63.50000004,63.49999992,24.30466501,0.9808834235,0.0008088415386,1212.701594,100000.0025,0.009808834023,8.08841571e-06,1212.70152,99999.9966,0.002451795448,1.334073868e-07,0.00245166204,0.002499999944,0.002468661824,0.02941994448,0.02979341231,0.9806648381,0.9931137658,1.4913461101317235e-05,4.971086849226582e-06,0.0,4.000000330961484e-08,-7.999999951380232e-08,8.944272014522797e-08,-1.9335162033107516,-0.6886234410371829,-1.9335161899999953,-0.6886234200000008,-98.78729843631754,-98.78729843876815
2200,60139.27439,1.087157794e-10,0.9999529123,0.02172707072,63.50000003,63.50000005,63.49999992,24.30467724,0.9808229994,0.0008090569691,1212.303999,100000.0025,0.009808229782,8.09057001e-06,1212.303925,99999.9966,0.002430200692,1.262654666e-07,0.002430074427,0.002499999944,0.002468660582,0.02916089312,0.02953108731,0.9720297925,0.984369599,1.6422981989251846e-05,5.474284930366623e-06,3.000000248221113e-08,4.999999703159119e-08,-7.999999951380232e-08,9.899494822616038e-08,-2.7970207426532596,-1.5630401069044164,-2.797020750000001,-1.5630401000000016,-98.7876960313076,-98.78769603378167
2400,60139.36578,1.337021466e-10,1.000007629,0.01865643769,63.5,63.5,63.4999999,24.30468955,0.9808781626,0.000808852091,1212.679269,100000.0025,0.009808781418,8.088521233e-06,1212.679195,99999.9966,0.002449355352,1.393262228e-07,0.002449216026,0.002499999944,0.002468659331,0.02939059231,0.02976371758,0.9796864323,0.9921239416,1.7942646165860726e-05,5.980774577021673e-06,0.0,0.0,-1.0000000116860974e-07,1.0000000116860974e-07,-2.0313567655023834,-0.787605837542764,-2.0313567700000035,-0.7876058400000052,-98.78732076131698,-98.7873207637689
2600,60139.45936,1.572098007e-10,0.9999375939,0.02277118888,63.50000002,63.50000004,63.49999989,24.30470216,0.9808469916,0.0008089512829,1212.49204,100000.0025,0.009808469707,8.08951315e-06,1212.491967,99999.9966,0.002438337246,1.33031232e-07,0.002438204214,0.002499999944,0.002468658051,0.02925845057,0.02962991362,0.9752817075,0.9876638093,1.949872641146595e-05,6.499607594577266e-06,2.000000165480742e-08,4.000000330961484e-08,-1.1000000199601345e-07,1.1874342411301967e-07,-2.4718292553689762,-1.233619090649841,-2.4718292500000016,-1.2336190700000027,-98.7875079903123,-98.78750799177529
2800,60139.55066,1.899220364e-10,0.9999880791,0.02372054107,63.49999996,63.50000007,63.49999987,24.30471446,0.9808533828,0.0008089852554,1212.449023,100000.0025,0.009808533617,8.089852875e-06,1212.448949,99999.9966,0.002439120069,1.297561384e-07,0.002438990312,0.002499999944,0.002468656802,0.02926788375,0.02963948156,0.9755961468,0.9879827406,2.101689403727096e-05,7.005685795506396e-06,-4.000000330961484e-08,6.999999868639861e-08,-1.2999999654539351e-07,1.5297058273624812e-07,-2.4403853346646303,-1.201725974058666,-2.4403853200000047,-1.201725939999998,-98.78755100731124,-98.78755100977673
3000,60139.63922,2.04827405e-10,0.9999803305,0.0262368946,63.49999996,63.50000011,63.49999983,24.30472639,0.9808736146,0.000808891443,1212.614651,100000.0025,0.00980873594,8.088914753e-06,1212.614577,99999.9966,0.002447267056,1.340594047e-07,0.002447132996,0.002499999944,0.00246865559,0.02936559595,0.02973844896,0.9788532203,0.991281654,2.248950000590094e-05,7.496540505892069e-06,-4.000000330961484e-08,1.1000000199601345e-07,-1.6999999985500835e-07,2.063976759912645e-07,-2.114677967368789,-0.8718346166708567,-2.1146779700000007,-0.8718345999999988,-98.78738537931537,-98.7873853817711
3200,60139.73325,2.3550914e-10,0.9999548793,0.01270051678,63.49999997,63.50000009,63.49999985,24.30473906,0.9808388774,0.000809002411,1212.405382,100000.0025,0.009808388566,8.090024435e-06,1212.405308,99999.9966,0.002433336135,1.341858396e-07,0.002433201949,0.002499999944,0.002468654303,0.02919842339,0.02956916922,0.9732808014,0.9856389962,2.405306300540455e-05,8.01784219751083e-06,-3.000000248221113e-08,9.000000034120603e-08,-1.4999999820020093e-07,1.7748239256447397e-07,-2.671919859851,-1.4361003870374611,-2.671919860000005,-1.436100380000005,-98.78759464831013,-98.78759465077822
3400,60139.82328,2.596880766e-10,1.000000954,0.01665608826,63.49999999,63.50000018,63.49999987,24.30475119,0.9808841183,0.0008089080094,1212.602801,100000.0025,0.009808840969,8.089080415e-06,1212.602727,99999.9966,0.002449272256,1.316566256e-07,0.002449140599,0.002499999944,0.002468653071,0.02938968719,0.02976287644,0.9796562615,0.9920959034,2.5550112636841847e-05,8.516925821830198e-06,-1.000000082740371e-08,1.8000000068241206e-07,-1.2999999654539351e-07,2.222611062782212e-07,-2.0343738455699665,-0.7904096460219066,-2.034373850000004,-0.7904096600000021,-98.78739722931506,-98.78739723177151
3600,60139.91451,2.890313267e-10,0.9999548793,0.02128942668,63.49999999,63.5000002,63.49999982,24.30476347,0.9808445733,0.0008089981213,1212.418852,100000.0025,0.00980844553,8.089981537e-06,1212.418778,99999.9966,0.002435542866,1.322977493e-07,0.002435410568,0.002499999944,0.002468651823,0.02922492682,0.02959603891,0.9741642491,0.9865346525,2.706711627879583e-05,9.022181131453665e-06,-1.000000082740371e-08,2.0000000233721948e-07,-1.8000000068241206e-07,2.692582425796919e-07,-2.5835750978720697,-1.3465347640479992,-2.583575090000001,-1.3465347499999947,-98.78758117831048,-98.78758118077775
3800,60140.00449,3.069085264e-10,0.9999916553,0.01831747216,63.49999998,63.50000015,63.49999983,24.3047756,0.9808697233,0.0008089462909,1212.527623,100000.0025,0.009808697024,8.089463228e-06,1212.527549,99999.9966,0.002443082126,1.344317059e-07,0.002442947694,0.002499999944,0.002468650592,0.02931537233,0.02968764775,0.9771790996,0.9895882806,2.856333449309298e-05,9.521264755626857e-06,-2.000000165480742e-08,1.4999999820020093e-07,-1.6999999985500835e-07,2.2759613238575786e-07,-2.282090051118818,-1.0411719699537032,-2.2820900399999955,-1.0411719399999964,-98.78747240731319,-98.78747240977405
